2026-03-04 14:31:18 | INFO     | trading_service | [GTLB] Décision IA : SELL (Confiance: 0.65)
2026-03-04 14:31:19 | INFO     | trading_service | [AMZN] Décision IA : SELL (Confiance: 0.65)
2026-03-04 14:31:22 | INFO     | trading_service | [AAPL] Décision IA : HOLD (Confiance: 0.5)
2026-03-04 14:31:25 | INFO     | trading_service | [GOOGL] Décision IA : SELL (Confiance: 0.65)
2026-03-04 14:31:25 | WARNING  | trading_service | [VCI] Données historiques introuvables. Symbole ignoré.
2026-03-04 14:31:27 | INFO     | trading_service | [TSLA] Décision IA : SELL (Confiance: 0.7)
2026-03-04 14:31:31 | INFO     | trading_service | [MSFT] Décision IA : SELL (Confiance: 0.65)
2026-03-04 14:31:36 | INFO     | trading_service | [AMZN] Décision IA : SELL (Confiance: 0.65)
2026-03-04 14:31:39 | INFO     | trading_service | [CRWD] Décision IA : SELL (Confiance: 0.65)
2026-03-04 14:31:44 | INFO     | trading_service | [GTLB] Décision IA : BUY (Confiance: 0.65)
2026-03-04 14:31:47 | INFO     | trading_service | [AAPL] Décision IA : HOLD (Confiance: 0.5)
2026-03-04 14:31:49 | INFO     | trading_service | [GOOGL] Décision IA : SELL (Confiance: 0.65)
2026-03-04 14:31:49 | WARNING  | trading_service | [VCI] Données historiques introuvables. Symbole ignoré.
2026-03-04 14:31:52 | INFO     | trading_service | [TSLA] Décision IA : SELL (Confiance: 0.7)
2026-03-04 14:31:56 | INFO     | trading_service | [MSFT] Décision IA : SELL (Confiance: 0.75)
2026-03-04 14:31:59 | INFO     | trading_service | [AMZN] Décision IA : SELL (Confiance: 0.65)
2026-03-04 14:32:03 | INFO     | trading_service | [CRWD] Décision IA : SELL (Confiance: 0.65)
2026-03-04 14:32:06 | INFO     | trading_service | [GTLB] Décision IA : SELL (Confiance: 0.65)
2026-03-04 14:32:09 | INFO     | trading_service | [AAPL] Décision IA : HOLD (Confiance: 0.5)
2026-03-04 14:32:12 | INFO     | trading_service | [GOOGL] Décision IA : SELL (Confiance: 0.7)
2026-03-04 14:32:12 | WARNING  | trading_service | [VCI] Données historiques introuvables. Symbole ignoré.
2026-03-04 14:32:15 | INFO     | trading_service | [TSLA] Décision IA : SELL (Confiance: 0.75)
2026-03-04 14:32:17 | INFO     | trading_service | [MSFT] Décision IA : SELL (Confiance: 0.65)
2026-03-04 14:32:20 | INFO     | trading_service | [AMZN] Décision IA : SELL (Confiance: 0.65)
2026-03-04 14:32:22 | INFO     | trading_service | [CRWD] Décision IA : SELL (Confiance: 0.65)
2026-03-04 14:32:34 | INFO     | trading_service | [GTLB] Décision IA : SELL (Confiance: 0.65)
2026-03-04 14:32:38 | INFO     | trading_service | [AAPL] Décision IA : HOLD (Confiance: 0.5)
2026-03-04 14:32:42 | INFO     | trading_service | [GOOGL] Décision IA : SELL (Confiance: 0.65)
2026-03-04 14:32:42 | WARNING  | trading_service | [VCI] Données historiques introuvables. Symbole ignoré.
2026-03-04 14:32:46 | INFO     | trading_service | [TSLA] Décision IA : SELL (Confiance: 0.65)
2026-03-04 14:32:48 | INFO     | trading_service | [MSFT] Décision IA : SELL (Confiance: 0.65)
2026-03-04 14:32:50 | INFO     | trading_service | [GTLB] Décision IA : BUY (Confiance: 0.65)
2026-03-04 14:32:52 | INFO     | trading_service | [AMZN] Décision IA : SELL (Confiance: 0.65)
2026-03-04 14:32:53 | INFO     | trading_service | [AAPL] Décision IA : HOLD (Confiance: 0.5)
2026-03-04 14:32:53 | INFO     | trading_service | [GTLB] Décision IA : BUY (Confiance: 0.65)
2026-03-04 14:32:55 | INFO     | trading_service | [CRWD] Décision IA : SELL (Confiance: 0.65)
2026-03-04 14:32:55 | INFO     | trading_service | [AAPL] Décision IA : HOLD (Confiance: 0.5)
2026-03-04 14:32:55 | INFO     | trading_service | [GOOGL] Décision IA : SELL (Confiance: 0.65)
2026-03-04 14:32:55 | WARNING  | trading_service | [VCI] Données historiques introuvables. Symbole ignoré.
2026-03-04 14:32:57 | INFO     | trading_service | [GOOGL] Décision IA : SELL (Confiance: 0.65)
2026-03-04 14:32:58 | WARNING  | trading_service | [VCI] Données historiques introuvables. Symbole ignoré.
2026-03-04 14:32:58 | INFO     | trading_service | [TSLA] Décision IA : SELL (Confiance: 0.65)
2026-03-04 14:33:00 | INFO     | trading_service | [MSFT] Décision IA : SELL (Confiance: 0.65)
2026-03-04 14:33:02 | INFO     | trading_service | [TSLA] Décision IA : SELL (Confiance: 0.75)
2026-03-04 14:33:04 | INFO     | trading_service | [AMZN] Décision IA : SELL (Confiance: 0.65)
2026-03-04 14:33:04 | INFO     | trading_service | [MSFT] Décision IA : SELL (Confiance: 0.65)
2026-03-04 14:33:06 | INFO     | trading_service | [CRWD] Décision IA : SELL (Confiance: 0.65)
2026-03-04 14:33:08 | INFO     | trading_service | [AMZN] Décision IA : SELL (Confiance: 0.6)
